contentID,URL,headline,author,cmsCategories,nl_category_structured,nl_category,,,,705
www.arkansasonline.com/news/2018/sep/14/mean-and-extreme-20180914/,https://www.arkansasonline.com/news/2018/sep/14/mean-and-extreme-20180914/,Mean and extreme,Tom Murphy,"/Sports, /Sports/College/Razorbacks/Razobacks-College-Football, /Sports/College/Razorbacks/Razobacks-College-Latest",,,,,,
www.arkansasonline.com/news/2018/sep/30/texas-company-buys-lr-sheraton-hotel-at/,https://www.arkansasonline.com/news/2018/sep/30/texas-company-buys-lr-sheraton-hotel-at/,Texas company buys LR Sheraton hotel at I-630 for $10.4M,David Smith,"/Business, /Business/Arkansas",,,,,,
www.arkansasonline.com/news/2018/jul/30/three-players-miss-extended-time-injuries/,https://www.arkansasonline.com/news/2018/jul/30/three-players-miss-extended-time-injuries/,Three players to miss extended time with injuries,Scottie Bordelon,"/Sports/College/Razorbacks/Razobacks-College-Football, /Sports/College/Razorbacks/Razobacks-College-Latest","/Sports/Team Sports, /Sports/College Sports","/Sports/Team Sports, /Sports/College Sports",,,,
www.arkansasonline.com/news/2018/sep/19/little-rock-teacher-feud-tv-reporter-arrested-day-/,https://www.arkansasonline.com/news/2018/sep/19/little-rock-teacher-feud-tv-reporter-arrested-day-/,"Little Rock high school coach accused of harassing TV reporter, arrested day after acquittal in separate case",Jaime Dunaway,"None/Lr, /News, /News/Arkansas, /News/Arkansas/Central, /News/Arkansas/Crime",/Law & Government/Public Safety/Crime & Justice,/Law & Government/Public Safety/Crime & Justice,,,,
www.arkansasonline.com/news/2018/sep/27/76-year-old-woman-found-nearly-suffocated-covered-/,https://www.arkansasonline.com/news/2018/sep/27/76-year-old-woman-found-nearly-suffocated-covered-/,Police: 76-year-old found covered in feces after weeks alone in Arkansas home; 30 dogs also discovered,Maggie McNeary,/News/Arkansas,/Law & Government/Public Safety,/Law & Government/Public Safety,,,,
www.arkansasonline.com/news/2018/aug/26/governor-signed-bill-geared-to-1-colleg/,https://www.arkansasonline.com/news/2018/aug/26/governor-signed-bill-geared-to-1-colleg/,Governor signed bill geared to 1 college,Doug Thompson,/News/Arkansas,,,,,,
www.arkansasonline.com/news/2018/sep/17/live-video-ua-athletic-director-speaking-little-ro/,https://www.arkansasonline.com/news/2018/sep/17/live-video-ua-athletic-director-speaking-little-ro/,LIVE VIDEO: UA athletic director speaking to Little Rock Touchdown Club,,"/Sports/College/Razorbacks-College, /Sports/College/Razorbacks/Razobacks-College-Football","/Sports/College Sports, /Sports/Team Sports/American Football","/Sports/College Sports, /Sports/Team Sports/American Football",,,,
www.arkansasonline.com/news/2018/aug/23/sheriffs-office-man-killed-while-emptying-dumpster/,https://www.arkansasonline.com/news/2018/aug/23/sheriffs-office-man-killed-while-emptying-dumpster/,Superinten,Jaime Dunaway,"/News, /News/Arkansas",,,,,,
www.arkansasonline.com/news/2018/aug/30/ex-boxer-taylor-jailed-in-assault-20180-1/,https://www.arkansasonline.com/news/2018/aug/30/ex-boxer-taylor-jailed-in-assault-20180-1/,Ex-boxer Jermain Taylor jailed in assault at Little Rock home,Arkansas Democrat-Gazette,"/News/Arkansas, /News/Arkansas/Crime",/Law & Government,/Law & Government,,,,
www.arkansasonline.com/news/2018/sep/06/28-players-suspended-2-fans-arrested-after-fight-h/,https://www.arkansasonline.com/news/2018/sep/06/28-players-suspended-2-fans-arrested-after-fight-h/,28 Arkansas high school football players suspended after in-game brawl; sheriff says 2 fans arrested,Jaime Dunaway,"/News, /News/Arkansas, /News/Arkansas/Crime, /News/Arkansas/Southeast",,,,,,
