contentID,lag,min,max,count
www.arkansasonline.com/news/2018/may/31/tae-eatery-is-closer-to-lr-opening-2018/,38,2018-07-02,2018-08-09,2
www.arkansasonline.com/news/2018/jul/09/on-your-side-20180709/,38,2018-07-09,2018-08-16,34
www.arkansasonline.com/news/2018/may/23/ex-lr-officer-elected-sheriff-20180523/,38,2018-07-03,2018-08-10,33
www.arkansasonline.com/news/2009/jan/18/top-salaries-state-government-employees/,38,2018-07-09,2018-08-16,2
www.arkansasonline.com/news/2018/jul/22/bankruptcy-watch-20180722/,38,2018-07-22,2018-08-29,16
www.arkansasonline.com/news/2018/jul/05/in-deposition-halt-attorney-faces-penal/,37,2018-07-05,2018-08-11,64
www.arkansasonline.com/news/2018/may/21/state-police-driver-who-struck-patrol-cars-dies-af/,37,2018-07-07,2018-08-13,2
www.arkansasonline.com/news/2018/may/10/man-accused-stealing-nearly-300-worth-meat-little-/,37,2018-07-04,2018-08-10,8
www.arkansasonline.com/news/2018/may/11/arkansas-cafeteria-worker-stole-27k-students-lunch/,37,2018-07-03,2018-08-09,22
www.arkansasonline.com/news/2018/apr/19/police-22-year-old-arkansan-charged-rape-teen-girl/,37,2018-07-04,2018-08-10,13
www.arkansasonline.com/news/2018/jul/22/bauxite-playoffs-or-bust-20180722/,37,2018-07-26,2018-09-01,6
www.arkansasonline.com/news/2018/apr/26/man-who-swore-off-crime-pleads-guilty-t/,37,2018-07-03,2018-08-09,9
www.arkansasonline.com/news/2018/may/13/future-husband-won-t-plan-wedding-she-d/,37,2018-07-05,2018-08-11,2
www.arkansasonline.com/news/2018/may/03/rattlesnake-ridge-opens-as-73rd-natural-1/,37,2018-07-01,2018-08-07,3
www.arkansasonline.com/news/2018/jul/16/conservationists-at-trail-s-end-2018071-1/,37,2018-07-16,2018-08-22,55
www.arkansasonline.com/news/2018/may/16/police-teen-pepper-sprays-worker-central-arkansas-/,37,2018-07-02,2018-08-08,26
www.arkansasonline.com/news/2018/may/22/former-assistant-little-rock-police-chief-wins-pul/,37,2018-07-02,2018-08-08,12
www.arkansasonline.com/news/2018/jul/17/woman-sentenced-16-life-prison-killing-classmate-r/,36,2018-07-17,2018-08-22,89
www.arkansasonline.com/news/2018/may/17/mistakenly-freed-suspect-back-in-jail-2-1/,36,2018-07-03,2018-08-08,7
www.arkansasonline.com/news/2018/may/23/2-arrested-connection-burglary-arkansas-home-sever/,36,2018-07-02,2018-08-07,11
www.arkansasonline.com/news/2018/may/31/house-panel-s-leader-rejects-spying-cla/,36,2018-07-05,2018-08-10,11
www.arkansasonline.com/news/2018/jul/25/forward-to-the-past-20180725/,36,2018-07-25,2018-08-30,18
www.arkansasonline.com/news/2018/apr/05/17-year-old-arrested-murder-charge-little-rock-sho/,36,2018-07-08,2018-08-13,3
www.arkansasonline.com/news/2018/may/30/news-in-brief-20180530/,36,2018-07-04,2018-08-09,5
www.arkansasonline.com/news/2018/mar/28/arkansas-mayor-arrested-charges-sexual-misconduct-/,36,2018-07-04,2018-08-09,17
www.arkansasonline.com/news/2018/mar/08/former-meterologist-returns-station/,36,2018-07-05,2018-08-10,24
www.arkansasonline.com/news/2018/jul/22/new-speaker-takes-helm-in-house-2018072-1/,36,2018-07-22,2018-08-27,53
www.arkansasonline.com/news/2018/jul/24/8-year-old-boy-dies-after-becoming-trapped-arkansa/,36,2018-07-24,2018-08-29,151
www.arkansasonline.com/news/2018/jul/19/burgers-not-cotham-s-only-winners-20180/,36,2018-07-19,2018-08-24,44
www.arkansasonline.com/news/2016/may/29/owner-of-lr-s-new-1836-club-says-it-fil/,36,2018-07-26,2018-08-31,7
www.arkansasonline.com/news/2017/may/28/norton-hired-new-rose-bud-football-coach/,35,2018-07-11,2018-08-15,2
www.arkansasonline.com/news/2018/jun/29/director-bart-layton-prefers-morally-co/,35,2018-07-09,2018-08-13,3
www.arkansasonline.com/news/2018/jul/28/open-beers-in-vehicle-a-bad-idea-201807/,35,2018-07-28,2018-09-01,53
www.arkansasonline.com/news/2018/jul/22/we-might-all-be-better-20180722/,35,2018-07-22,2018-08-26,19
www.arkansasonline.com/news/2018/may/22/2-survive-small-aircraft-crash-arkansas-pilot-depl/,35,2018-07-03,2018-08-07,14
www.arkansasonline.com/news/2018/apr/10/camera-concealed-at-camp-man-held-20180/,35,2018-07-07,2018-08-11,13
www.arkansasonline.com/news/2018/mar/28/ex-arkansas-teacher-accused-having-sex-4-students-/,35,2018-07-08,2018-08-12,21
www.arkansasonline.com/news/2018/jul/26/west-lr-s-taco-bueno-now-serving-201807/,34,2018-07-26,2018-08-29,174
www.arkansasonline.com/news/2018/jul/22/real-estate-transactions-20180722/,34,2018-07-22,2018-08-25,20
www.arkansasonline.com/news/2018/may/16/arkansas-high-school-counselor-arrested-sexual-ass/,34,2018-07-07,2018-08-10,20
www.arkansasonline.com/news/2018/jul/18/homicide-victim-s-vehicle-discovered-bu/,34,2018-07-18,2018-08-21,74
www.arkansasonline.com/news/2018/may/16/fake-doctor-who-worked-arkansas-3-other-states-sen/,34,2018-07-09,2018-08-12,7
www.arkansasonline.com/news/2018/jul/15/search-few-good-moving-boxes/,34,2018-07-16,2018-08-19,2
www.arkansasonline.com/news/2018/jul/21/the-cut-man-20180721/,34,2018-07-21,2018-08-24,27
www.arkansasonline.com/news/2018/apr/13/officer-involved-shooting-little-rock/,34,2018-07-10,2018-08-13,9
